mother_query_name,sql,relations,joins,wheres,true_cardinality,postgres_estimate,postgres_optimization_time,execution_time
13a,SELECT * FROM info_type it WHERE it.info ='rating',['info_type'],[],"[""it.info ='rating'""]",1,1.0,0.0010249614715576,0.0010051727294921
13a,SELECT * FROM info_type it2 WHERE it2.info ='release dates',['info_type'],[],"[""it2.info ='release dates'""]",1,1.0,0.001004934310913,0.0009820461273193
13a,SELECT * FROM kind_type kt WHERE kt.kind ='movie',['kind_type'],[],"[""kt.kind ='movie'""]",1,5.0,0.0013079643249511,0.0008630752563476
13b,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0006730556488037,0.012775182723999
13b,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.000737190246582,0.0006279945373535
13b,SELECT * FROM info_type it WHERE it.info ='rating',['info_type'],[],"[""it.info ='rating'""]",1,1.0,0.0007910728454589,0.0006008148193359
13b,SELECT * FROM info_type it2 WHERE it2.info ='release dates',['info_type'],[],"[""it2.info ='release dates'""]",1,1.0,0.0009489059448242,0.0010061264038085
13b,SELECT * FROM kind_type kt WHERE kt.kind ='movie',['kind_type'],[],"[""kt.kind ='movie'""]",1,5.0,0.0008749961853027,0.0006930828094482
13c,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0010550022125244,0.0134150981903076
13c,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0011491775512695,0.0009100437164306
13c,SELECT * FROM info_type it WHERE it.info ='rating',['info_type'],[],"[""it.info ='rating'""]",1,1.0,0.0008859634399414,0.0020632743835449
13c,SELECT * FROM info_type it2 WHERE it2.info ='release dates',['info_type'],[],"[""it2.info ='release dates'""]",1,1.0,0.0009169578552246,0.0008997917175292
13c,SELECT * FROM kind_type kt WHERE kt.kind ='movie',['kind_type'],[],"[""kt.kind ='movie'""]",1,5.0,0.0010669231414794,0.0009157657623291
13d,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0007460117340087,0.013545274734497
13d,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0008268356323242,0.0004968643188476
13d,SELECT * FROM info_type it WHERE it.info ='rating',['info_type'],[],"[""it.info ='rating'""]",1,1.0,0.0005388259887695,0.0003960132598876
13d,SELECT * FROM info_type it2 WHERE it2.info ='release dates',['info_type'],[],"[""it2.info ='release dates'""]",1,1.0,0.0003881454467773,0.0003449916839599
13d,SELECT * FROM kind_type kt WHERE kt.kind ='movie',['kind_type'],[],"[""kt.kind ='movie'""]",1,5.0,0.0003998279571533,0.0003361701965332
14a,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.0005488395690917,0.0005080699920654
14a,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.000464916229248,0.0004751682281494
14a,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.0005240440368652,0.0004060268402099
14b,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.000680923461914,0.0004715919494628
14b,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0004048347473144,0.0003917217254638
14b,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.0004899501800537,0.0012202262878417
14c,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.0010340213775634,0.0007290840148925
14c,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0005130767822265,0.0005292892456054
15a,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0010030269622802,0.0134599208831787
15a,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.0013210773468017,0.0010099411010742
15b,SELECT * FROM company_name cn WHERE cn.country_code = '[us]' AND cn.name = 'YouTube',['company_name'],[],"[""cn.country_code = '[us]'"", ""cn.name = 'YouTube'""]",1,1.0,0.0011940002441406,0.0127880573272705
15b,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.0010950565338134,0.0008819103240966
15c,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.001028299331665,0.013214111328125
15c,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.00114107131958,0.0008869171142578
15d,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0011558532714843,0.0139129161834716
15d,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.0011978149414062,0.0008840560913085
16a,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0010299682617187,0.0134849548339843
16a,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0016639232635498,0.0053930282592773
16b,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0008599758148193,0.0135722160339355
16b,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0007519721984863,0.0051572322845458
16c,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.000561237335205,0.013599157333374
16c,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0010287761688232,0.0051658153533935
16d,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0010979175567626,0.0136311054229736
16d,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0007510185241699,0.0049619674682617
17a,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0012080669403076,0.0135421752929687
17a,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0019400119781494,0.0054829120635986
17b,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0009777545928955,0.0050878524780273
17c,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0008771419525146,0.0054349899291992
17d,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0045139789581298,0.006066083908081
17e,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0008368492126464,0.0151090621948242
17e,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0009291172027587,0.0054140090942382
17f,SELECT * FROM keyword k WHERE k.keyword ='character-name-in-title',['keyword'],[],"[""k.keyword ='character-name-in-title'""]",1,1.0,0.0005791187286376,0.0051629543304443
18a,SELECT * FROM info_type it1 WHERE it1.info = 'budget',['info_type'],[],"[""it1.info = 'budget'""]",1,1.0,0.0017919540405273,0.0011661052703857
18a,SELECT * FROM info_type it2 WHERE it2.info = 'votes',['info_type'],[],"[""it2.info = 'votes'""]",1,1.0,0.0011060237884521,0.0009968280792236
18b,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.00128173828125,0.0012979507446289
18b,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0008420944213867,0.0006639957427978
18c,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.0020890235900878,0.0012950897216796
18c,SELECT * FROM info_type it2 WHERE it2.info = 'votes',['info_type'],[],"[""it2.info = 'votes'""]",1,1.0,0.0010201930999755,0.0008938312530517
18c,SELECT * FROM name n WHERE n.gender = 'm',['name'],[],"[""n.gender = 'm'""]",1739579,1742340.0,0.0016090869903564,0.0957281589508056
19a,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0012018680572509,0.0141921043395996
19a,SELECT * FROM info_type it WHERE it.info = 'release dates',['info_type'],[],"[""it.info = 'release dates'""]",1,1.0,0.0015408992767333,0.0010790824890136
19a,SELECT * FROM role_type rt WHERE rt.role ='actress',['role_type'],[],"[""rt.role ='actress'""]",1,4.0,0.002871036529541,0.0017099380493164
19b,SELECT * FROM cast_info ci WHERE ci.note = '(voice)',['cast_info'],[],"[""ci.note = '(voice)'""]",713828,705290.0,0.0014111995697021,0.5638961791992188
19b,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0010180473327636,0.0133099555969238
19b,SELECT * FROM info_type it WHERE it.info = 'release dates',['info_type'],[],"[""it.info = 'release dates'""]",1,1.0,0.0007462501525878,0.0005950927734375
19b,SELECT * FROM role_type rt WHERE rt.role ='actress',['role_type'],[],"[""rt.role ='actress'""]",1,4.0,0.0013558864593505,0.0013282299041748
19c,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0014417171478271,0.0140140056610107
19c,SELECT * FROM info_type it WHERE it.info = 'release dates',['info_type'],[],"[""it.info = 'release dates'""]",1,1.0,0.0010030269622802,0.0008299350738525
19c,SELECT * FROM role_type rt WHERE rt.role ='actress',['role_type'],[],"[""rt.role ='actress'""]",1,4.0,0.0011510848999023,0.0008018016815185
19d,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0014030933380126,0.0137050151824951
19d,SELECT * FROM info_type it WHERE it.info = 'release dates',['info_type'],[],"[""it.info = 'release dates'""]",1,1.0,0.0011498928070068,0.0008840560913085
19d,SELECT * FROM name n WHERE n.gender ='f',['name'],[],"[""n.gender ='f'""]",961555,948624.0,0.0012390613555908,0.0921070575714111
19d,SELECT * FROM role_type rt WHERE rt.role ='actress',['role_type'],[],"[""rt.role ='actress'""]",1,4.0,0.0012507438659667,0.0009760856628417
1a,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0008540153503417,0.0005979537963867
1a,SELECT * FROM info_type it WHERE it.info = 'top 250 rank',['info_type'],[],"[""it.info = 'top 250 rank'""]",1,1.0,0.0006718635559082,0.0005509853363037
1b,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0010478496551513,0.0006892681121826
1b,SELECT * FROM info_type it WHERE it.info = 'bottom 10 rank',['info_type'],[],"[""it.info = 'bottom 10 rank'""]",1,1.0,0.0007801055908203,0.0007822513580322
1c,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0010209083557128,0.0007359981536865
1c,SELECT * FROM info_type it WHERE it.info = 'top 250 rank',['info_type'],[],"[""it.info = 'top 250 rank'""]",1,1.0,0.0006897449493408,0.0007219314575195
1d,SELECT * FROM company_type ct WHERE ct.kind = 'production companies',['company_type'],[],"[""ct.kind = 'production companies'""]",1,4.0,0.0008330345153808,0.0006718635559082
1d,SELECT * FROM info_type it WHERE it.info = 'bottom 10 rank',['info_type'],[],"[""it.info = 'bottom 10 rank'""]",1,1.0,0.0005381107330322,0.0004701614379882
20a,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.0014629364013671,0.0008838176727294
20a,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.001194953918457,0.0009350776672363
20b,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.0010590553283691,0.0006930828094482
20b,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.0007669925689697,0.0004529953002929
20c,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.0010821819305419,0.0007951259613037
20c,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.0010929107666015,0.00083589553833
21a,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0037250518798828,0.0008730888366699
21a,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0008158683776855,0.0052301883697509
21b,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0013692378997802,0.0011327266693115
21b,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0010619163513183,0.0052409172058105
21c,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.001173973083496,0.0007820129394531
21c,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0007631778717041,0.0051991939544677
22a,SELECT * FROM company_name cn WHERE cn.country_code != '[us]',['company_name'],[],"[""cn.country_code != '[us]'""]",126230,125481.0,0.0009520053863525,0.0140769481658935
22a,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.0012769699096679,0.0009253025054931
22a,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.000972032546997,0.0010077953338623
22b,SELECT * FROM company_name cn WHERE cn.country_code != '[us]',['company_name'],[],"[""cn.country_code != '[us]'""]",126230,125481.0,0.0010428428649902,0.014028787612915
22b,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.0011978149414062,0.0008800029754638
22b,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.000986099243164,0.0009291172027587
22c,SELECT * FROM company_name cn WHERE cn.country_code != '[us]',['company_name'],[],"[""cn.country_code != '[us]'""]",126230,125481.0,0.0008010864257812,0.0138649940490722
22c,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.0012049674987792,0.0009269714355468
22c,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.000859260559082,0.0008778572082519
22d,SELECT * FROM company_name cn WHERE cn.country_code != '[us]',['company_name'],[],"[""cn.country_code != '[us]'""]",126230,125481.0,0.0009222030639648,0.0137202739715576
22d,SELECT * FROM info_type it1 WHERE it1.info = 'countries',['info_type'],[],"[""it1.info = 'countries'""]",1,1.0,0.0014221668243408,0.000964879989624
22d,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.000917911529541,0.0008580684661865
23a,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'complete+verified',['comp_cast_type'],[],"[""cct1.kind = 'complete+verified'""]",1,4.0,0.0013270378112792,0.0008208751678466
23a,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0007438659667968,0.013416051864624
23a,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.0009329319000244,0.0007150173187255
23b,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'complete+verified',['comp_cast_type'],[],"[""cct1.kind = 'complete+verified'""]",1,4.0,0.0010678768157958,0.0006940364837646
23b,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0005600452423095,0.0135550498962402
23b,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.0013339519500732,0.0009927749633789
23c,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'complete+verified',['comp_cast_type'],[],"[""cct1.kind = 'complete+verified'""]",1,4.0,0.0007569789886474,0.0005431175231933
23c,SELECT * FROM company_name cn WHERE cn.country_code = '[us]',['company_name'],[],"[""cn.country_code = '[us]'""]",84843,85750.0,0.0006039142608642,0.0135829448699951
23c,SELECT * FROM info_type it1 WHERE it1.info = 'release dates',['info_type'],[],"[""it1.info = 'release dates'""]",1,1.0,0.0007290840148925,0.000521183013916
24a,SELECT * FROM company_name cn WHERE cn.country_code ='[us]',['company_name'],[],"[""cn.country_code ='[us]'""]",84843,85750.0,0.0013229846954345,0.01338791847229
24a,SELECT * FROM info_type it WHERE it.info = 'release dates',['info_type'],[],"[""it.info = 'release dates'""]",1,1.0,0.0008299350738525,0.0007538795471191
24a,SELECT * FROM role_type rt WHERE rt.role ='actress',['role_type'],[],"[""rt.role ='actress'""]",1,4.0,0.001209020614624,0.0007381439208984
24b,SELECT * FROM company_name cn WHERE cn.country_code ='[us]' AND cn.name = 'DreamWorks Animation',['company_name'],[],"[""cn.country_code ='[us]'"", ""cn.name = 'DreamWorks Animation'""]",1,1.0,0.0008480548858642,0.012192964553833
24b,SELECT * FROM info_type it WHERE it.info = 'release dates',['info_type'],[],"[""it.info = 'release dates'""]",1,1.0,0.0007917881011962,0.0009322166442871
24b,SELECT * FROM role_type rt WHERE rt.role ='actress',['role_type'],[],"[""rt.role ='actress'""]",1,4.0,0.0010340213775634,0.0009520053863525
25a,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.00136399269104,0.0010991096496582
25a,SELECT * FROM info_type it2 WHERE it2.info = 'votes',['info_type'],[],"[""it2.info = 'votes'""]",1,1.0,0.0009500980377197,0.0010321140289306
25a,SELECT * FROM movie_info mi WHERE mi.info = 'Horror',['movie_info'],[],"[""mi.info = 'Horror'""]",30801,27264.0,0.0023500919342041,0.3178188800811767
25a,SELECT * FROM name n WHERE n.gender = 'm',['name'],[],"[""n.gender = 'm'""]",1739579,1742340.0,0.000972032546997,0.0995349884033203
25b,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.0013041496276855,0.0009517669677734
25b,SELECT * FROM info_type it2 WHERE it2.info = 'votes',['info_type'],[],"[""it2.info = 'votes'""]",1,1.0,0.0023622512817382,0.0011000633239746
25b,SELECT * FROM movie_info mi WHERE mi.info = 'Horror',['movie_info'],[],"[""mi.info = 'Horror'""]",30801,27264.0,0.0016441345214843,0.313183069229126
25b,SELECT * FROM name n WHERE n.gender = 'm',['name'],[],"[""n.gender = 'm'""]",1739579,1742340.0,0.0011568069458007,0.1006288528442382
25c,SELECT * FROM info_type it1 WHERE it1.info = 'genres',['info_type'],[],"[""it1.info = 'genres'""]",1,1.0,0.0042731761932373,0.0008931159973144
25c,SELECT * FROM info_type it2 WHERE it2.info = 'votes',['info_type'],[],"[""it2.info = 'votes'""]",1,1.0,0.0007398128509521,0.0006229877471923
25c,SELECT * FROM name n WHERE n.gender = 'm',['name'],[],"[""n.gender = 'm'""]",1739579,1742340.0,0.0010523796081542,0.0992140769958496
26a,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.000760793685913,0.0005660057067871
26a,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0016579627990722,0.0007319450378417
26a,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.001129150390625,0.0008678436279296
26b,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.0010151863098144,0.0006201267242431
26b,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0014569759368896,0.000990867614746
26b,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.0010566711425781,0.0008809566497802
26c,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.0007898807525634,0.0005548000335693
26c,SELECT * FROM info_type it2 WHERE it2.info = 'rating',['info_type'],[],"[""it2.info = 'rating'""]",1,1.0,0.0012037754058837,0.0006639957427978
26c,SELECT * FROM kind_type kt WHERE kt.kind = 'movie',['kind_type'],[],"[""kt.kind = 'movie'""]",1,5.0,0.0011889934539794,0.0007119178771972
27a,SELECT * FROM comp_cast_type cct2 WHERE cct2.kind = 'complete',['comp_cast_type'],[],"[""cct2.kind = 'complete'""]",1,4.0,0.0006062984466552,0.0006351470947265
27a,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0009701251983642,0.0010499954223632
27a,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.0015311241149902,0.0050899982452392
27b,SELECT * FROM comp_cast_type cct2 WHERE cct2.kind = 'complete',['comp_cast_type'],[],"[""cct2.kind = 'complete'""]",1,4.0,0.0004711151123046,0.0003480911254882
27b,SELECT * FROM company_type ct WHERE ct.kind ='production companies',['company_type'],[],"[""ct.kind ='production companies'""]",1,4.0,0.0012612342834472,0.000694990158081
27b,SELECT * FROM keyword k WHERE k.keyword ='sequel',['keyword'],[],"[""k.keyword ='sequel'""]",1,1.0,0.000655174255371,0.0051820278167724
27b,SELECT * FROM title t WHERE t.production_year = 1998,['title'],[],['t.production_year = 1998'],46583,44504.0,0.0017940998077392,0.0507771968841552
27c,SELECT * FROM comp_cast_type cct1 WHERE cct1.kind = 'cast',['comp_cast_type'],[],"[""cct1.kind = 'cast'""]",1,4.0,0.0010087490081787,0.0006570816040039
